CAD,Pressure [bar]
-360,1.007867022
-359.9,1.007381215
-359.8,1.005894809
-359.7,1.004223322
-359.6,1.002846809
-359.5,1.001603323
-359.4,1.001030759
-359.3,1.000458194
-359.2,1.000041793
-359.1,0.999237876
-359,0.997872931
-358.9,0.996461715
-358.8,0.995137256
-358.7,0.994443231
-358.6,0.994761373
-358.5,0.995166271
-358.4,0.996143766
-358.3,0.996652772
-358.2,0.996230587
-358.1,0.995276291
-358,0.993662642
-357.9,0.991881263
-357.8,0.99084021
-357.7,0.990099915
-357.6,0.989961136
-357.5,0.989724032
-357.4,0.988960602
-357.3,0.987855928
-357.2,0.986294333
-357.1,0.984570792
-357,0.983709037
-356.9,0.983350473
-356.8,0.983697534
-356.7,0.984229676
-356.6,0.984241275
-356.5,0.98357617
-356.4,0.982147602
-356.3,0.980458764
-356.2,0.979007061
-356.1,0.977913955
-356,0.977312471
-355.9,0.977167908
-355.8,0.976913453
-355.7,0.976583808
-355.6,0.975687351
-355.5,0.974484351
-355.4,0.973223514
-355.3,0.972107272
-355.2,0.971534708
-355.1,0.971690903
-355,0.971609961
-354.9,0.971575291
-354.8,0.971228295
-354.7,0.970407026
-354.6,0.96972457
-354.5,0.968804977
-354.4,0.968128304
-354.3,0.96776974
-354.2,0.96753842
-354.1,0.967179856
-354,0.966474265
-353.9,0.965334887
-353.8,0.96402778
-353.7,0.962911538
-353.6,0.961951459
-353.5,0.961459867
-353.4,0.961511954
-353.3,0.961517769
-353.2,0.961604558
-353.1,0.961523617
-353,0.961402189
-352.9,0.960980004
-352.8,0.9607429
-352.7,0.960719797
-352.6,0.960916478
-352.5,0.96132716
-352.4,0.961523842
-352.3,0.961500738
-352.2,0.960968661
-352.1,0.959950743
-352,0.958516392
-351.9,0.957301825
-351.8,0.956150881
-351.7,0.955248639
-351.6,0.954629804
-351.5,0.954028321
-351.4,0.953380567
-351.3,0.952640272
-351.2,0.951616571
-351.1,0.950691195
-351,0.94999717
-350.9,0.949534498
-350.8,0.949314746
-350.7,0.949077642
-350.6,0.948765348
-350.5,0.948389433
-350.4,0.948013518
-350.3,0.947579765
-350.2,0.947169147
-350.1,0.946660204
-350,0.946411533
-349.9,0.946157077
-349.8,0.946105055
-349.7,0.946064601
-349.6,0.945925821
-349.5,0.945544122
-349.4,0.945133504
-349.3,0.94456094
-349.2,0.943999943
-349.1,0.943485217
-349,0.943115085
-348.9,0.942924252
-348.8,0.942450012
-348.7,0.941929502
-348.6,0.941212342
-348.5,0.940148154
-348.4,0.939159156
-348.3,0.938337888
-348.2,0.937672783
-348.1,0.937291084
-348,0.937256413
-347.9,0.937106066
-347.8,0.93700199
-347.7,0.936608723
-347.6,0.935943618
-347.5,0.935353702
-347.4,0.934758002
-347.3,0.934411006
-347.2,0.934243308
-347.1,0.93416815
-347,0.934208669
-346.9,0.934104593
-346.8,0.933699758
-346.7,0.933312276
-346.6,0.932641386
-346.5,0.932282823
-346.4,0.932219233
-346.3,0.932230833
-346.2,0.93242173
-346.1,0.932335005
-346,0.932138388
-345.9,0.93165258
-345.8,0.931062664
-345.7,0.930617344
-345.6,0.930218293
-345.5,0.930010108
-345.4,0.929749869
-345.3,0.929119467
-345.2,0.928517983
-345.1,0.927650445
-345,0.92662096
-344.9,0.925811259
-344.8,0.924949505
-344.7,0.924203426
-344.6,0.923642429
-344.5,0.923098784
-344.4,0.922896383
-344.3,0.922601441
-344.2,0.922219742
-344.1,0.922075179
-344,0.922092562
-343.9,0.922098378
-343.8,0.922179383
-343.7,0.922225686
-343.6,0.92245707
-343.5,0.922503373
-343.4,0.92240508
-343.3,0.922324139
